filename,execution_time_microsecond,memory_usage_kb,status,error
strange_sort_list.py,1924.9999999999961,388.0,success,
string_sequence.py,4319329.8,1132.0,success,
string_to_md5.py,1817.7999999999945,116.0,success,
string_xor.py,2289.300000000008,88.0,success,
strlen.py,811.1999999999841,92.0,success,
Strongest_Extension.py,1255.4999999999927,68.0,success,
sum_product.py,1255.7999999999874,216.0,success,
sum_squares.py,3583.299999999984,272.0,success,
sum_to_n.py,376.0000000000013,4.0,success,
total_match.py,2084.799999999998,404.0,success,
tri.py,2686322.6999999997,1488.0,success,
triangle_area.py,913.1,96.0,success,
triples_sum_to_zero.py,23116.600000000002,288.0,success,
truncate_number.py,278.7999999999957,76.0,success,
unique.py,1716.099999999998,348.0,success,
unique_digits.py,6362.000000000006,400.0,success,
valid_date.py,868.2999999999885,96.0,success,
vowels_count.py,4225.099999999996,104.0,success,
will_it_fly.py,748.4999999999992,148.0,success,
words_in_sentence.py,3274.200000000005,64.0,success,
words_string.py,1699.5999999999956,236.0,success,
x_or_y.py,1338.7999999999872,160.0,success,
